label,text
cardiovascular diseases,"Prognostic value of radionuclide angiography in medically treated patients with coronary artery disease. A comparison with clinical and catheterization variables. To evaluate the usefulness of multiple measures from rest and exercise radionuclide angiography (RNA) in predicting cardiovascular death and cardiovascular events (death or nonfatal myocardial infarction) and to assess the prognostic usefulness of the RNA relative to clinical and catheterization data, we studied 571 stable patients with symptomatic coronary artery disease who had upright rest/exercise first-pass RNA within 3 months of catheterization and were medically treated. With a median follow-up of 5.4 years, 90 patients have died from cardiovascular causes, and 147 patients have either died or suffered a nonfatal myocardial infarction. Using the Cox regression model and a preselected group of RNA variables, the most important RNA predictor of mortality was exercise ejection fraction (chi 2 = 81, p less than 0.00001). Neither rest ejection fraction nor the change in ejection fraction from rest to exercise contributed additional predictive information. Two other RNA study variables, the change in heart rate from rest to exercise and rest end-diastolic volume index, did contribute additional prognostic information to the exercise ejection fraction (chi 2 = 23, p less than 0.0001). Compared with noninvasive clinical data (history, physical examination, electrocardiogram, and chest radiograph), RNA variables were considerably more predictive of mortality (chi 2 = 71 [clinical variables] versus chi 2 = 104 [RNA]). Remarkably, the strength of the relation of RNA variables with mortality was equivalent to that of the set of catheterization variables previously demonstrated in our large angiographic population to be prognostically important (chi 2 = 104 [RNA] versus chi 2 = 102 [catheterization variables]). The RNA contained 84% of the information provided by clinical and catheterization descriptors combined. Furthermore, the RNA contributed significant additional prognostic information to the clinical and catheterization data (chi 2 = 13.6, p = 0.0035). For cardiovascular events, the relative prognostic usefulness of the RNA was similar, although relations with this outcome were generally weaker. Descriptors from the rest/exercise RNA exhibit a powerful relation with long-term outcomes and can be useful in defining risk, even when clinical and catheterization data are available. "
cardiovascular diseases,"Prognostic value of thallium-201 myocardial perfusion imaging in patients with unstable angina who respond to medical treatment [published erratum appears in J Am Coll Cardiol 1991 Sep;18(3):889] Although the prognostic value of thallium-201 imaging is well established, its ability to risk stratify patients who present with unstable angina is unclear. Fifty-two consecutive patients admitted with unstable angina who responded to medical treatment and underwent stress thallium-201 imaging within 1 week of discharge were studied. Patients were followed up for 39 +/- 11 months. Cardiac events included cardiac death (n = 3), nonfatal myocardial infarction (n = 4) and admission for unstable angina or revascularization (n = 17). The ability of thallium-201 data (redistribution, fixed defects, normal) to predict cardiac events was compared with clinical data (age, gender, prior myocardial infarction, anginal syndrome, rest and stress electrocardiogram) and cardiac catheterization data using logistic regression. Thallium-201 redistribution was the only significant predictor of cardiac death or nonfatal myocardial infarction (p less than 0.05). The number of myocardial segments with thallium-201 redistribution (p less than 0.0005) and a history of prior myocardial infarction (p less than 0.05) were the only significant predictors of all cardiac events. Cardiac death or nonfatal myocardial infarction occurred more frequently in patients with thallium-201 redistribution (6 [26%] of 23) than in those without redistribution (1 [3%] of 29, p less than 0.05). Similarly, total cardiac events developed more frequently in patients with thallium-201 redistribution (p less than 0.001). Stress thallium-201 imaging has important prognostic value in patients admitted with unstable angina who respond to medical therapy and can identify subgroups at high versus low risk for future cardiac events. "
cardiovascular diseases,"Myocardial infarction in the young adult. CAD in young male adults below the age of 40 years has generally been found to be associated with the usual risk factors associated with CAD. In a lesser number of young adults, MIs may be related to cocaine use. Sympathomimetic effects and increase in myocardial oxygen demand are factors considered responsible for acute MI in cocaine-abusing patients. In young adults who are asymptomatic following an acute MI and who are able to pass treadmill exercise stress tests at levels of Bruce stage 4 have been shown to have normal coronary arteriograms. Thus this subset should not require routine coronary angiograms following an acute MI. "
cardiovascular diseases,"Prevalence of coronary heart disease in Scotland: Scottish Heart Health Study Data from 10,359 men and women aged 40-59 years from 22 districts in the Scottish Heart Health Study were used to describe the prevalence rates of coronary heart disease in Scotland in 1984-1986 and their relation to the geographical variation in mortality in these districts. Prevalence was measured by previous history, Rose chest pain questionnaire, and the Minnesota code of a 12 lead resting electrocardiogram. The prevalence of coronary heart disease in Scotland was high compared with studies from other countries that used the same standardised methods. A history of angina was more common in men (5.5%) than in women (3.9%), though in response to the Rose questionnaire 8.5% of women and 6.3% of men reported chest pain. A history of myocardial infarction was three times more common in men than women, as was a Q/QS pattern on the electrocardiogram. There were significant correlations between the different measures of coronary prevalence. District measures of angina correlated well with mortality from coronary heart disease, and these correlations tended to be stronger in women than in men. There was no significant correlation between mortality from coronary heart disease and measures of myocardial infarction. The study provides data on the prevalence of coronary heart disease in men and women that are valuable for the planning of cardiological services. "
cardiovascular diseases,"Therapy of ischemic cardiomyopathy with pentoxifylline. Abnormal blood rheology is a known characteristics of coronary artery disease. The authors evaluated the effects of pentoxifylline on the exercise capacity ejection fraction and symptoms of 9 patients with ischemic cardiomyopathy. All patients had signs and symptoms of left ventricular dysfunction. All had at least two major vessels obstructed as determined by coronary angiography. Pentoxifylline 400 mg three times daily was administered for twelve weeks. Seven of 9 patients responded with increases in ejection fraction and exercise tolerance. Exercise tolerance correlated with improvement or lack of improvement in ejection fraction. For all patients at twelve weeks post-therapy mean ejection fraction increased 9.8% over baseline (p = .07), total treadmill time increased 15% (p = .27), and mean double product increased 13% (p = .03). Anginal symptoms were significantly improved over baseline at twelve weeks of therapy (p greater than .001), as well as dyspnea on exertion (p = .03). Pentoxifylline was well tolerated. Pentoxifylline may benefit ischemic cardiomyopathy by improving coronary perfusion owing to favorable alterations in hemorheologic properties. "
cardiovascular diseases,"Technetium-99m sestamibi in chronic coronary artery disease: the European experience. Since the introduction of technetium-99m methoxy-isobutyl isonitrile (Tc-99m sestamibi) in Europe, there has been a growing interest in its use. Several European multicenter trials have been conducted to evaluate this new agent in relation to the traditional perfusion marker thallium-201, and other studies are in progress to understand the use of this perfusion marker for the diagnosis of coronary disease, for use in conjunction with pharmacologic vasodilation, for use in the assessment of ventricular function and wall motion and for the assessment of interventions. "
cardiovascular diseases,"Failure of long-term digitalization to prevent rapid ventricular response in patients with paroxysmal atrial fibrillation. Digitalis is frequently prescribed to patients with paroxysmal atrial fibrillation to reduce the ventricular rate during subsequent paroxysms. To verify the validity of this assumption, we determined the ventricular rate during paroxysmal atrial fibrillation in 13 patients receiving long-term digoxin therapy (mean plasma digoxin level + 1.28 +/- 0.4 ng/ml) and compared it with that of a group of 14 patients who had not taken digoxin or beta-adrenergic and calcium-blocking agents before the attack. The treated and the untreated groups were similar statistically. The mean ventricular rate of the digitalized patients was 121 +/- 15 beats per minute, while that of the patients in the control group was 118 +/- 16 beats per minute. It is concluded that long-term digoxin therapy is not effective in reducing the ventricular response in patients with paroxysmal atrial fibrillation despite adequate therapeutic levels. "
cardiovascular diseases,"The management of primary pulmonary hypertension. Primary pulmonary hypertension is a clinical syndrome characterized by pulmonary hypertension in the absence of sufficient underlying cardiac, parenchymal pulmonary, or systemic disease to account for it. The population of patients with primary pulmonary hypertension is a heterogeneous one, both clinically and histologically. As the etiologic mechanisms are unknown, therapy is directed toward the consequences of the pulmonary vascular process. Oxygen supplementation, the use of digoxin and diuretics for symptomatic heart failure, and anticoagulation all may have a role in treating primary pulmonary hypertension, although vasodilator therapy has been the main area of investigation. Screening for vasodilator responsiveness, defining a favorable vasodilator effect, predicting long-term effectiveness, and deciding who to treat have all been controversial. New approaches, such as use of high-dose calcium channel-blocking agents and continuous intravenous infusion of prostacyclin (an investigational agent), have recently been proposed. When medical therapies are exhausted, heart-lung or lung transplantation has increasingly become an option for selected patients. "
cardiovascular diseases,"Lung injury in a surfactant-deficient lung is modified by indomethacin. Repetitive total lung lavage in adult rabbits leads to a reproducible severe surfactant-deficient lung injury. Hypoxemia requiring mechanical ventilation occurs, accompanied by a substantial pulmonary hypertension, a large intra-alveolar protein leak, peripheral neutropenia, and pathological features of marked neutrophil infiltration with extensive hyaline membrane formation. Pretreatment with indomethacin abolishes postlavage pulmonary hypertension, preserves a slightly better lung function with higher arterial PO2, and prevents the postlavage peripheral neutropenia found in untreated animals. Pretreatment with a thromboxane A2 receptor blocker (L 655,240, Merck Frosst, Canada) also completely attenuated pulmonary hypertension, providing evidence that thromboxane A2 mediates pulmonary arterial hypertension after lung lavage. However, specific thromboxane receptor blockade had no other long-lasting beneficial effects on the ongoing injury in this model. "
cardiovascular diseases,"Effect of lovastatin on intimal hyperplasia after balloon angioplasty: a study in an atherosclerotic hypercholesterolemic rabbit. Restenosis, the major limitation of balloon angioplasty, is the result of intimal hyperplasia after the procedure. Lovastatin, a 3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) inhibitor, may influence intimal hyperplasia by lowering serum cholesterol and by blocking deoxyribonucleic acid (DNA) synthesis. To determine whether lovastatin reduces intimal hyperplasia, a prospective, randomized blinded study was performed in 60 atherosclerotic New Zealand White male rabbits. Atherosclerosis was produced by air desiccation injury followed by a 28 day diet of 2% cholesterol and 6% peanut oil that was terminated before balloon angioplasty was performed. Angioplasty could not be performed in 14 rabbits with bilateral femoral artery occlusion, and in one rabbit the procedure was a technical failure. Forty-five rabbits underwent balloon angioplasty performed with use of a 2.5-mm balloon inflated to 10 atm for three 1 min dilations at 1 min intervals. Seven rabbits died during the procedure. Thirty-eight rabbits were randomized to either a lovastatin group (6 mg/kg body weight per day) or a control group. Angioplasty was performed on all patent vessels (n = 54); the procedure was bilateral in 16 rabbits and unilateral in 22. Fifteen lovastatin-treated and 15 control rabbits survived 39 days after angioplasty and were then killed. Angiograms, obtained before and 10 min and 39 days after balloon angioplasty, were read with use of electronic calipers by two observers who had no knowledge of treatment data. After the rabbits were killed, vessels were pressure perfused using a standardized protocol to maintain in vivo dimensions for blinded quantitative histologic analysis. "
